Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,192446102,CTSH ,"9,293,830","703,542,931.00",0.303,Cognizant Technology Solutions Corp,Common Stock,Information Technology,01/17/2024
QQQ,285512109,EA ,"4,988,397","681,514,798.14",0.294,Electronic Arts Inc,Common Stock,Communication Services,01/17/2024
QQQ,049468101,TEAM ,"2,873,085","680,834,952.45",0.294,Atlassian Corp,Common Stock,Information Technology,01/17/2024
QQQ,311900104,FAST ,"10,591,359","671,280,333.42",0.290,Fastenal Co,Common Stock,Industrials,01/17/2024
QQQ,21037T109,CEG ,"5,919,891","662,554,200.72",0.286,Constellation Energy Corp,Common Stock,Utilities,01/17/2024
QQQ,09062X103,BIIB ,"2,685,830","658,753,524.10",0.284,Biogen Inc,Common Stock,Health Care,01/17/2024
QQQ,30161N101,EXC ,"18,450,710","656,660,768.90",0.283,Exelon Corp,Common Stock,Utilities,01/17/2024
QQQ,92345Y106,VRSK ,"2,687,449","636,038,554.83",0.274,Verisk Analytics Inc,Common Stock,Industrials,01/17/2024
QQQ,98980G102,ZS ,"2,749,124","619,460,110.92",0.267,Zscaler Inc,Common Stock,Information Technology,01/17/2024
QQQ,22160N109,CSGP ,"7,569,266","618,333,339.54",0.267,CoStar Group Inc,Common Stock,Real Estate,01/17/2024
QQQ,98389B100,XEL ,"10,228,100","614,606,529.00",0.265,Xcel Energy Inc,Common Stock,Utilities,01/17/2024
QQQ,36266G107,GEHC ,"8,438,291","613,885,670.25",0.265,GE HealthCare Technologies Inc,Common Stock,Health Care,01/17/2024
QQQ,682189105,ON ,"7,983,199","576,945,791.73",0.249,ON Semiconductor Corp,Common Stock,Information Technology,01/17/2024
QQQ,05722G100,BKR ,"18,651,025","574,265,059.75",0.248,Baker Hughes Co,Common Stock,Energy,01/17/2024
QQQ,G25839104,CCEP ,"8,466,865","563,639,203.05",0.243,Coca-Cola Europacific Partners PLC,Common Stock,Consumer Staples,01/17/2024
QQQ,G39387108,GFS ,"10,153,023","557,096,372.01",0.240,GLOBALFOUNDRIES Inc,Common Stock,Information Technology,01/17/2024
QQQ,256746108,DLTR ,"4,038,494","546,812,087.60",0.236,Dollar Tree Inc,Common Stock,Consumer Staples,01/17/2024
QQQ,12514G108,CDW ,"2,483,062","543,964,392.34",0.235,CDW Corp/DE,Common Stock,Information Technology,01/17/2024
QQQ,88339J105,TTD ,"8,271,554","533,515,233.00",0.230,Trade Desk Inc/The,Common Stock,Communication Services,01/17/2024
QQQ,03662Q105,ANSS ,"1,610,064","531,707,535.36",0.229,ANSYS Inc,Common Stock,Information Technology,01/17/2024
QQQ,60937P106,MDB ,"1,322,415","529,468,517.70",0.228,MongoDB Inc,Common Stock,Information Technology,01/17/2024
QQQ,874054109,TTWO ,"3,152,373","505,577,581.74",0.218,Take-Two Interactive Software Inc,Common Stock,Communication Services,01/17/2024
QQQ,25278X109,FANG ,"3,317,448","496,887,361.44",0.214,Diamondback Energy Inc,Common Stock,Energy,01/17/2024
QQQ,848637104,SPLK ,"3,123,113","476,868,123.97",0.206,Splunk Inc,Common Stock,Information Technology,01/17/2024
QQQ,934423104,WBD ,"45,199,923","459,231,217.68",0.198,Warner Bros Discovery Inc,Common Stock,Communication Services,01/17/2024
QQQ,452327109,ILMN ,"2,943,315","393,109,151.40",0.170,Illumina Inc,Common Stock,Health Care,01/17/2024
QQQ,82968B103,SIRI ,"71,313,059","375,106,690.34",0.162,Sirius XM Holdings Inc,Common Stock,Communication Services,01/17/2024
QQQ,931427108,WBA ,"16,012,971","355,007,567.07",0.153,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,01/17/2024
